	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
Sec,Throughput,Graph Vertices,Graph Edges
903,3035,1250560,0
904,3069,1250560,0
905,3013,1250560,0
906,3011,1250560,0
907,3020,1250560,0
908,3041,1250560,0
909,3000,1250560,0
910,3114,1250560,0
911,3075,1250560,0
912,3043,1250560,0
913,2980,1250560,0
914,3076,1250560,0
915,3001,1250560,0
916,3017,1250560,0
917,3036,1250560,0
918,3054,1250560,0
919,3018,1250560,0
920,3069,1250560,0
921,3025,1250560,0
922,3076,1250560,0
923,3002,1250560,0
924,3054,1250560,0
925,2980,1250560,0
926,3062,1250560,0
927,3005,1250560,0
928,3101,1250560,0
929,3032,1250560,0
930,2983,1250560,0
931,2944,1250560,0
932,2898,1250560,0
933,2951,1250560,0
934,3023,1250560,0
935,2955,1250560,0
936,2992,1250560,0
937,3044,1250560,0
938,2947,1250560,0
939,3068,1250560,0
940,3039,1250560,0
941,3094,1250560,0
942,2912,1250560,0
943,2929,1250560,0
944,2998,1250560,0
945,2974,1250560,0
946,3041,1250560,0
947,3062,1250560,0
948,3063,1250560,0
949,3022,1250560,0
950,3056,1250560,0
951,2943,1250560,0
952,2999,1250560,0
953,2986,1250560,0
954,3023,1250560,0
955,3043,1250560,0
956,3012,1250560,0
957,2986,1250560,0
958,3041,1250560,0
959,3023,1250560,0
960,3086,1250560,0
961,3041,1250560,0
962,3026,1250560,0
963,3047,1250560,0
964,3066,1250560,0
965,3059,1250560,0
966,3067,1250560,0
967,3017,1250560,0
968,3037,1250560,0
969,3004,1250560,0
970,2992,1250560,0
971,3009,1250560,0
972,3035,1250560,0
973,2958,1250560,0
974,2980,1250560,0
975,3076,1250560,0
976,3043,1250560,0
977,3051,1250560,0
978,2972,1250560,0
979,3065,1250560,0
980,3062,1250560,0
981,2995,1250560,0
982,2990,1250560,0
983,3017,1250560,0
984,2980,1250560,0
985,3012,1250560,0
986,3009,1250560,0
987,3000,1250560,0
988,3013,1250560,0
989,2911,1250560,0
990,3037,1250560,0
991,3045,1250560,0
992,3040,1250560,0
993,3066,1250560,0
994,3004,1250560,0
995,2953,1250560,0
996,3050,1250560,0
997,3001,1250560,0
998,3037,1250560,0
999,2993,1250560,0
1000,3038,1250560,0
1001,2989,1250560,0
1002,3049,1250560,0
1003,2958,1250560,0
1004,2908,1250560,0
1005,3094,1250560,0
1006,3057,1250560,0
1007,3063,1250560,0
1008,3026,1250560,0
1009,3053,1250560,0
1010,3028,1250560,0
1011,3042,1250560,0
1012,3054,1250560,0
1013,3061,1250560,0
1014,2953,1250560,0
1015,2971,1250560,0
1016,3002,1250560,0
1017,3011,1250560,0
1018,3003,1250560,0
1019,2973,1250560,0
1020,3038,1250560,0
1021,3001,1250560,0
1022,2956,1250560,0
1023,3013,1250560,0
1024,3027,1250560,0
1025,2982,1250560,0
1026,1747,1250560,0
